S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        45,EDBL,                                        350.00,                                        5.00,                                        1.45,                                        345.00,                                        350.00,                                        345.00,                                        145.00,                                        345.00
                                        46,EHPL,                                        432.00,                                        -2.10,                                        -0.48,                                        442.70,                                        451.50,                                        427.60,"                                        1,990.00",                                        434.10
                                        47,ENL,                                        736.50,                                        3.50,                                        0.48,                                        744.00,                                        747.00,                                        736.50,                                        409.00,                                        733.00
                                        48,FMDBL,                                        589.00,                                        1.00,                                        0.17,                                        599.00,                                        599.00,                                        589.00,                                        80.00,                                        588.00
                                        49,FOWAD,"                                        1,035.00",                                        5.90,                                        0.57,"                                        1,020.00","                                        1,035.00","                                        1,015.00",                                        91.00,"                                        1,029.10"
                                        50,GBBD85,                                        900.20,                                        0.00,                                        0.00,                                        900.20,                                        900.20,                                        900.20,                                        25.00,                                        900.20
                                        51,GBBL,                                        360.20,                                        -0.30,                                        -0.08,                                        358.00,                                        363.00,                                        358.00,"                                        6,237.00",                                        360.50
                                        52,GBD80/81,"                                        1,010.10",                                        0.00,                                        0.00,"                                        1,010.10","                                        1,010.10","                                        1,010.10",                                        50.00,"                                        1,010.10"
                                        53,GBIME,                                        182.60,                                        1.30,                                        0.72,                                        184.00,                                        187.60,                                        182.10,"                                        6,387.00",                                        181.30
                                        54,GCIL,                                        456.00,                                        1.00,                                        0.22,                                        446.30,                                        460.00,                                        446.30,"                                        4,505.00",                                        455.00
                                        55,GFCL,                                        442.70,                                        -1.20,                                        -0.27,                                        443.00,                                        449.90,                                        441.10,"                                        1,833.00",                                        443.90
                                        56,GHL,                                        153.00,                                        0.00,                                        0.00,                                        150.20,                                        155.30,                                        150.20,"                                        44,589.00",                                        153.00
                                        57,GIBF1,                                        8.44,                                        -0.16,                                        -1.86,                                        8.44,                                        8.44,                                        8.44,                                        100.00,                                        8.60
                                        58,GILB,                                        801.00,                                        -4.00,                                        -0.50,                                        805.00,                                        805.00,                                        801.00,                                        50.00,                                        805.00
                                        59,GLBSL,                                        890.00,                                        -10.00,                                        -1.11,                                        900.00,                                        900.00,                                        890.00,                                        36.00,                                        900.00
                                        60,GLH,                                        214.00,                                        2.00,                                        0.94,                                        211.00,                                        218.00,                                        210.90,"                                        2,828.00",                                        212.00
                                        61,GMFIL,                                        355.00,                                        0.00,                                        0.00,                                        355.00,                                        355.00,                                        355.00,                                        523.00,                                        355.00
                                        62,GRDBL,                                        362.00,                                        2.10,                                        0.58,                                        352.80,                                        362.00,                                        352.80,                                        434.00,                                        359.90
                                        63,GUFL,                                        627.20,                                        -24.70,                                        -3.79,                                        664.90,                                        664.90,                                        627.20,"                                        31,394.00",                                        651.90
                                        64,GVL,                                        426.00,                                        7.10,                                        1.69,                                        412.00,                                        443.70,                                        412.00,"                                        6,046.00",                                        418.90
                                        65,H8020,                                        8.70,                                        -0.01,                                        -0.11,                                        8.70,                                        8.70,                                        8.70,                                        200.00,                                        8.71
                                        66,HATHY,                                        818.00,                                        4.00,                                        0.49,                                        830.20,                                        830.20,                                        812.50,"                                        4,676.00",                                        814.00
                                        67,HBL,                                        187.10,                                        0.90,                                        0.48,                                        187.00,                                        189.00,                                        187.00,"                                        2,897.00",                                        186.20
                                        68,HDHPC,                                        139.00,                                        1.20,                                        0.87,                                        138.00,                                        140.50,                                        136.20,"                                        34,177.00",                                        137.80
                                        69,HDL,"                                        1,455.00",                                        4.00,                                        0.28,"                                        1,452.00","                                        1,479.00","                                        1,445.00","                                        3,571.00","                                        1,451.00"
                                        70,HEI,                                        556.20,                                        3.20,                                        0.58,                                        543.20,                                        564.00,                                        543.20,                                        350.00,                                        553.00
                                        71,HEIP,                                        334.60,                                        -6.80,                                        -1.99,                                        334.60,                                        334.60,                                        334.60,                                        50.00,                                        341.40
                                        72,HHL,                                        323.30,                                        2.20,                                        0.69,                                        321.00,                                        330.00,                                        321.00,"                                        5,154.00",                                        321.10
                                        73,HIDCL,                                        171.40,                                        1.40,                                        0.82,                                        169.10,                                        173.50,                                        169.00,"                                        10,285.00",                                        170.00
                                        74,HIDCLP,                                        100.70,                                        0.20,                                        0.20,                                        100.90,                                        101.00,                                        100.70,"                                        5,220.00",                                        100.50
                                        75,HLBSL,                                        567.00,                                        -1.00,                                        -0.18,                                        578.50,                                        585.00,                                        567.00,                                        160.00,                                        568.00
                                        76,HLI,                                        383.00,                                        1.10,                                        0.29,                                        382.00,                                        386.00,                                        381.00,"                                        7,989.00",                                        381.90
                                        77,HPPL,                                        268.20,                                        5.20,                                        1.98,                                        268.20,                                        278.00,                                        267.00,"                                        5,360.00",                                        263.00
                                        78,HRL,                                        608.30,                                        0.70,                                        0.12,                                        604.90,                                        615.50,                                        604.90,"                                        26,815.00",                                        607.60
                                        79,HURJA,                                        303.00,                                        -0.50,                                        -0.16,                                        309.00,                                        309.00,                                        301.00,"                                        6,090.00",                                        303.50
                                        80,ICFC,                                        495.00,                                        1.50,                                        0.30,                                        483.70,                                        503.90,                                        483.70,"                                        4,790.00",                                        493.50
                                        81,IGI,                                        534.00,                                        5.00,                                        0.95,                                        532.90,                                        540.00,                                        532.90,"                                        2,030.00",                                        529.00
                                        82,IHL,                                        356.00,                                        -1.00,                                        -0.28,                                        353.00,                                        364.10,                                        353.00,"                                        4,870.00",                                        357.00
                                        83,ILI,                                        525.00,                                        5.00,                                        0.96,                                        520.10,                                        530.00,                                        520.10,"                                        6,220.00",                                        520.00
                                        84,JALPA,"                                        1,050.70",                                        0.70,                                        0.07,"                                        1,030.10","                                        1,050.70","                                        1,030.10",                                        41.00,"                                        1,050.00"
                                        85,JBBD87,                                        939.00,                                        37.50,                                        4.16,                                        939.00,                                        939.00,                                        939.00,"                                        3,000.00",                                        901.50
                                        86,JBBL,                                        290.70,                                        -3.30,                                        -1.12,                                        297.80,                                        297.80,                                        290.70,"                                        5,058.00",                                        294.00
                                        87,JBLB,"                                        1,230.00",                                        -7.00,                                        -0.57,"                                        1,229.00","                                        1,239.00","                                        1,229.00",                                        596.00,"                                        1,237.00"
                                        88,JFL,                                        366.00,                                        3.00,                                        0.83,                                        370.00,                                        370.00,                                        366.00,                                        625.00,                                        363.00
                                        89,JOSHI,                                        379.00,                                        -1.00,                                        -0.26,                                        380.00,                                        389.40,                                        372.50,"                                        17,470.00",                                        380.00
                                        90,JSLBB,                                        851.00,                                        -16.90,                                        -1.95,                                        851.10,                                        851.10,                                        851.00,                                        109.00,                                        867.90
                                        91,KBL,                                        141.50,                                        -1.30,                                        -0.91,                                        145.60,                                        145.60,                                        141.50,"                                        22,024.00",                                        142.80
                                        92,KBLD89,"                                        1,010.60",                                        -9.40,                                        -0.92,"                                        1,010.60","                                        1,010.60","                                        1,010.60",                                        25.00,"                                        1,020.00"
                                        93,KBSH,                                        988.00,                                        0.00,                                        0.00,"                                        1,007.70","                                        1,007.70",                                        969.00,                                        280.00,                                        988.00
                                        94,KDBY,                                        8.51,                                        -0.05,                                        -0.58,                                        8.51,                                        8.54,                                        8.51,"                                        1,000.00",                                        8.56
                                        95,KDL,                                        755.00,                                        7.00,                                        0.94,                                        735.00,                                        765.00,                                        735.00,                                        540.00,                                        748.00
                                        96,KEF,                                        7.81,                                        -0.13,                                        -1.64,                                        7.80,                                        7.81,                                        7.80,                                        425.00,                                        7.94
                                        97,KKHC,                                        240.10,                                        -3.90,                                        -1.60,                                        248.80,                                        248.80,                                        240.00,"                                        2,076.00",                                        244.00
                                        98,KMCDB,                                        632.00,                                        -4.00,                                        -0.63,                                        636.00,                                        636.00,                                        632.00,                                        95.00,                                        636.00
                                        99,KPCL,                                        413.00,                                        13.00,                                        3.25,                                        405.00,                                        413.00,                                        405.00,                                        62.00,                                        400.00
                                        100,KRBL,                                        372.00,                                        7.00,                                        1.92,                                        372.00,                                        379.60,                                        372.00,"                                        1,220.00",                                        365.00
                                        101,KSBBL,                                        343.00,                                        0.00,                                        0.00,                                        349.00,                                        349.00,                                        343.00,                                        543.00,                                        343.00
                                        102,LBBL,                                        382.00,                                        -2.00,                                        -0.52,                                        388.00,                                        388.00,                                        382.00,"                                        1,918.00",                                        384.00
                                        103,LEC,                                        188.00,                                        0.60,                                        0.32,                                        187.40,                                        192.00,                                        187.40,"                                        13,613.00",                                        187.40
                                        104,LICN,"                                        1,310.00",                                        -20.00,                                        -1.50,"                                        1,330.00","                                        1,330.00","                                        1,310.00","                                        1,070.00","                                        1,330.00"
                                        105,LSL,                                        158.00,                                        0.00,                                        0.00,                                        158.90,                                        160.00,                                        158.00,"                                        4,377.00",                                        158.00
                                        106,LVF2,                                        7.75,                                        -0.05,                                        -0.64,                                        7.72,                                        7.75,                                        7.72,                                        200.00,                                        7.80
                                        107,MAKAR,                                        393.10,                                        -4.90,                                        -1.23,                                        405.90,                                        405.90,                                        393.10,"                                        1,901.00",                                        398.00
                                        108,MANDU,                                        673.00,                                        -14.00,                                        -2.04,                                        690.00,                                        700.00,                                        672.00,                                        670.00,                                        687.00
                                        109,MBJC,                                        314.00,                                        7.00,                                        2.28,                                        301.10,                                        319.20,                                        301.10,"                                        2,100.00",                                        307.00
                                        110,MBL,                                        178.50,                                        0.30,                                        0.17,                                        180.00,                                        180.00,                                        178.50,"                                        3,502.00",                                        178.20
                                        111,MCHL,                                        332.20,                                        2.20,                                        0.67,                                        324.00,                                        338.00,                                        324.00,                                        986.00,                                        330.00
                                        112,MEHL,                                        285.40,                                        0.30,                                        0.11,                                        284.90,                                        295.00,                                        284.80,"                                        5,640.00",                                        285.10
                                        113,MEL,                                        218.10,                                        2.10,                                        0.97,                                        220.30,                                        223.00,                                        216.30,"                                        9,492.00",                                        216.00
                                        114,MEN,                                        597.00,                                        3.70,                                        0.62,                                        592.00,                                        607.00,                                        592.00,"                                        7,080.00",                                        593.30
                                        115,MERO,                                        525.00,                                        -0.10,                                        -0.02,                                        515.00,                                        525.10,                                        515.00,                                        415.00,                                        525.10
                                        116,MFIL,                                        510.00,                                        1.00,                                        0.20,                                        506.30,                                        510.10,                                        506.00,"                                        1,348.00",                                        509.00
                                        117,MHCL,                                        539.30,                                        -23.20,                                        -4.12,                                        551.30,                                        551.30,                                        529.50,"                                        9,861.00",                                        562.50
                                        118,MHL,                                        387.10,                                        3.10,                                        0.81,                                        377.40,                                        397.00,                                        377.40,                                        600.00,                                        384.00
                                        119,MHNL,                                        248.00,                                        -1.00,                                        -0.40,                                        249.00,                                        253.00,                                        248.00,"                                        2,055.00",                                        249.00
                                        120,MKCL,                                        926.00,                                        2.00,                                        0.22,                                        924.00,                                        930.00,                                        921.20,                                        925.00,                                        924.00
                                        121,MKHC,                                        288.00,                                        0.00,                                        0.00,                                        283.00,                                        293.80,                                        283.00,"                                        4,157.00",                                        288.00
