S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        44,DHPL,                                        201.00,                                        -8.90,                                        -4.24,                                        214.00,                                        214.00,                                        190.30,"                                        29,771.00",                                        209.90
                                        45,DLBS,                                        766.00,                                        -6.00,                                        -0.78,                                        773.00,                                        790.50,                                        760.00,                                        768.00,                                        772.00
                                        46,DOLTI,                                        388.50,                                        -18.40,                                        -4.52,                                        398.80,                                        421.00,                                        380.00,"                                        35,341.00",                                        406.90
                                        47,DORDI,                                        491.00,                                        -13.00,                                        -2.58,                                        494.00,                                        515.00,                                        467.00,"                                        82,283.00",                                        504.00
                                        48,EBL,                                        512.30,                                        -3.70,                                        -0.72,                                        515.00,                                        519.30,                                        511.20,"                                        14,574.00",                                        516.00
                                        49,EBLD85,"                                        1,008.30",                                        0.00,                                        0.00,"                                        1,008.30","                                        1,008.30","                                        1,008.30",                                        8.00,"                                        1,008.30"
                                        50,EDBL,                                        345.00,                                        -1.00,                                        -0.29,                                        340.00,                                        357.70,                                        340.00,"                                        3,375.00",                                        346.00
                                        51,EHPL,                                        441.50,                                        -7.30,                                        -1.63,                                        440.00,                                        449.90,                                        426.50,"                                        10,055.00",                                        448.80
                                        52,ENL,                                        740.00,                                        -20.00,                                        -2.63,                                        746.30,                                        774.00,                                        740.00,"                                        3,966.00",                                        760.00
                                        53,FMDBL,                                        585.00,                                        -22.90,                                        -3.77,                                        605.00,                                        608.00,                                        582.00,"                                        16,351.00",                                        607.90
                                        54,FOWAD,"                                        1,054.90",                                        0.90,                                        0.09,"                                        1,045.00","                                        1,060.00","                                        1,033.00","                                        3,907.00","                                        1,054.00"
                                        55,GBBD85,                                        900.00,                                        -10.00,                                        -1.10,                                        896.10,                                        900.00,                                        896.10,                                        50.00,                                        910.00
                                        56,GBBL,                                        364.10,                                        -4.60,                                        -1.25,                                        367.00,                                        370.00,                                        363.00,"                                        27,787.00",                                        368.70
                                        57,GBD80/81,"                                        1,010.10",                                        0.10,                                        0.01,"                                        1,010.20","                                        1,010.20","                                        1,010.10",                                        200.00,"                                        1,010.00"
                                        58,GBILD86/87,                                        880.00,                                        -5.00,                                        -0.56,                                        880.00,                                        880.00,                                        880.00,                                        50.00,                                        885.00
                                        59,GBIME,                                        186.50,                                        -2.50,                                        -1.32,                                        189.00,                                        190.00,                                        186.50,"                                        57,767.00",                                        189.00
                                        60,GBIMEP,                                        100.00,                                        0.00,                                        0.00,                                        100.00,                                        100.00,                                        100.00,"                                        66,829.00",                                        100.00
                                        61,GBLBS,                                        561.80,                                        28.80,                                        5.40,                                        523.00,                                        561.80,                                        523.00,"                                        4,314.00",                                        533.00
                                        62,GCIL,                                        460.00,                                        -13.80,                                        -2.91,                                        465.80,                                        472.20,                                        460.00,"                                        31,156.00",                                        473.80
                                        63,GFCL,                                        437.30,                                        2.10,                                        0.48,                                        435.80,                                        452.00,                                        433.60,"                                        22,240.00",                                        435.20
                                        64,GHL,                                        164.70,                                        -6.80,                                        -3.97,                                        174.90,                                        174.90,                                        163.70,"                                        43,850.00",                                        171.50
                                        65,GILB,                                        812.00,                                        0.80,                                        0.10,                                        802.00,                                        817.00,                                        802.00,"                                        1,962.00",                                        811.20
                                        66,GLBSL,                                        896.00,                                        6.00,                                        0.67,                                        907.80,                                        925.90,                                        892.00,                                        249.00,                                        890.00
                                        67,GLH,                                        219.80,                                        -4.20,                                        -1.88,                                        226.50,                                        226.90,                                        218.00,"                                        24,585.00",                                        224.00
                                        68,GMFBS,                                        814.40,                                        -0.60,                                        -0.07,                                        829.00,                                        831.00,                                        814.40,                                        558.00,                                        815.00
                                        69,GMFIL,                                        351.10,                                        -6.90,                                        -1.93,                                        360.00,                                        370.00,                                        351.10,"                                        15,543.00",                                        358.00
                                        70,GRDBL,                                        358.50,                                        0.20,                                        0.06,                                        362.90,                                        364.20,                                        351.30,"                                        12,143.00",                                        358.30
                                        71,GUFL,                                        619.90,                                        30.90,                                        5.25,                                        577.30,                                        647.90,                                        577.30,"                                        225,994.00",                                        589.00
                                        72,GVL,                                        430.00,                                        -18.00,                                        -4.02,                                        449.20,                                        455.90,                                        430.00,"                                        15,736.00",                                        448.00
                                        73,H8020,                                        8.83,                                        0.20,                                        2.32,                                        8.46,                                        9.01,                                        8.46,"                                        108,900.00",                                        8.63
                                        74,HATHY,                                        850.00,                                        -25.00,                                        -2.86,                                        875.00,                                        892.00,                                        848.00,"                                        43,594.00",                                        875.00
                                        75,HBL,                                        188.00,                                        -2.50,                                        -1.31,                                        188.00,                                        191.80,                                        186.80,"                                        39,980.00",                                        190.50
                                        76,HDHPC,                                        140.00,                                        -1.20,                                        -0.85,                                        141.20,                                        143.50,                                        139.00,"                                        177,116.00",                                        141.20
                                        77,HDL,"                                        1,470.00",                                        -16.00,                                        -1.08,"                                        1,495.00","                                        1,498.70","                                        1,466.20","                                        24,764.00","                                        1,486.00"
                                        78,HEI,                                        560.20,                                        -6.90,                                        -1.22,                                        573.00,                                        573.00,                                        560.20,"                                        16,493.00",                                        567.10
                                        79,HEIP,                                        369.00,                                        21.00,                                        6.03,                                        350.00,                                        369.00,                                        350.00,                                        636.00,                                        348.00
                                        80,HHL,                                        327.90,                                        -0.10,                                        -0.03,                                        334.00,                                        340.00,                                        323.40,"                                        19,656.00",                                        328.00
                                        81,HIDCL,                                        174.60,                                        -3.10,                                        -1.74,                                        177.70,                                        179.00,                                        174.50,"                                        70,913.00",                                        177.70
                                        82,HIDCLP,                                        100.50,                                        -0.30,                                        -0.30,                                        100.30,                                        101.60,                                        100.20,"                                        101,448.00",                                        100.80
                                        83,HLBSL,                                        570.00,                                        -20.10,                                        -3.41,                                        590.00,                                        600.00,                                        560.00,"                                        13,595.00",                                        590.10
                                        84,HLI,                                        383.20,                                        -4.70,                                        -1.21,                                        390.00,                                        391.00,                                        383.00,"                                        36,663.00",                                        387.90
                                        85,HPPL,                                        279.10,                                        -10.90,                                        -3.76,                                        285.00,                                        295.80,                                        279.00,"                                        24,097.00",                                        290.00
                                        86,HRL,                                        624.00,                                        -9.20,                                        -1.45,                                        633.20,                                        637.90,                                        617.60,"                                        237,439.00",                                        633.20
                                        87,HURJA,                                        310.00,                                        -25.50,                                        -7.60,                                        329.00,                                        329.00,                                        305.20,"                                        139,287.00",                                        335.50
                                        88,ICFC,                                        489.90,                                        4.90,                                        1.01,                                        493.80,                                        509.00,                                        484.00,"                                        58,163.00",                                        485.00
                                        89,IGI,                                        537.00,                                        -3.10,                                        -0.57,                                        540.10,                                        554.00,                                        535.20,"                                        24,103.00",                                        540.10
                                        90,IHL,                                        371.00,                                        -1.30,                                        -0.35,                                        364.90,                                        383.00,                                        358.00,"                                        32,214.00",                                        372.30
                                        91,ILBS,                                        690.00,                                        1.00,                                        0.15,                                        675.50,                                        694.00,                                        665.10,"                                        2,484.00",                                        689.00
                                        92,ILI,                                        514.90,                                        -6.00,                                        -1.15,                                        514.00,                                        525.00,                                        513.00,"                                        42,540.00",                                        520.90
                                        93,JALPA,"                                        1,070.00",                                        -19.90,                                        -1.83,"                                        1,071.00","                                        1,080.00","                                        1,052.00",                                        634.00,"                                        1,089.90"
                                        94,JBBL,                                        295.00,                                        -2.80,                                        -0.94,                                        295.10,                                        300.00,                                        295.00,"                                        32,178.00",                                        297.80
